trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
14,11.93,Winter tires,1,0,1,Normal,18.8,0,1,33.0,2.0
63,5.88,Winter tires,0,1,1,Normal,18.1,0,1,61.0,1.3
68,7.61,Winter tires,0,1,1,Normal,15.4,0,1,63.0,-1.4
39,7.06,Winter tires,0,1,0,Normal,18.1,0,1,52.0,1.3
82,15.13,Winter tires,0,0,1,Normal,15.2,0,1,83.0,-1.6
44,9.68,Winter tires,0,0,1,Normal,16.4,0,0,17.0,-0.4
78,8.91,Winter tires,0,0,1,Normal,16.0,0,0,51.0,-0.8
40,6.07,Winter tires,0,1,0,Normal,18.3,0,0,59.0,1.5
38,10.5,Winter tires,0,0,1,Normal,16.2,0,0,48.0,-0.6
42,6.93,Winter tires,0,0,1,Normal,16.5,0,0,39.0,-0.3
80,8.06,Winter tires,0,0,1,Normal,15.9,0,0,48.0,-0.9
57,10.81,Winter tires,0,0,1,Normal,17.3,0,0,49.0,0.5
43,12.33,Winter tires,0,1,0,Normal,16.5,0,0,45.0,-0.3
33,8.64,Winter tires,0,0,1,Normal,16.8,0,0,68.0,0.0
61,3.41,Winter tires,0,0,1,Normal,15.3,0,0,58.0,-1.5
70,8.33,Winter tires,0,0,1,Normal,14.6,0,0,55.0,-2.2
33,3.14,Winter tires,0,0,1,Moderate,14.0,0,0,62.0,-2.8
51,8.31,Winter tires,1,1,0,Normal,16.3,0,1,36.0,-0.5
42,15.12,Winter tires,1,1,0,Fast,20.4,0,1,37.0,3.6
83,7.23,Winter tires,1,0,1,Normal,16.6,0,1,46.0,-0.2
82,13.64,Winter tires,0,0,1,Normal,16.1,0,1,43.0,-0.7
47,13.86,Winter tires,0,1,0,Normal,18.8,0,1,78.0,2.0
49,3.42,Winter tires,0,1,0,Normal,14.9,0,1,39.0,-1.9
64,10.62,Winter tires,0,0,1,Normal,15.3,0,1,72.0,-1.5
80,11.4,Winter tires,0,0,1,Normal,14.7,0,1,51.0,-2.1
64,10.91,Winter tires,0,0,1,Normal,16.5,0,1,62.0,-0.3
76,8.93,Winter tires,0,1,1,Normal,14.9,0,1,44.0,-1.9
18,2.92,Winter tires,1,1,0,Normal,14.1,0,1,52.0,-2.7
43,6.45,Winter tires,1,1,0,Normal,15.9,0,1,40.0,-0.9
19,7.88,Winter tires,0,1,0,Fast,19.6,0,1,71.0,2.8
57,8.61,Winter tires,0,0,1,Normal,15.1,0,1,44.0,-1.7
22,6.81,Winter tires,0,0,1,Moderate,12.8,0,0,42.0,-4.0
40,6.51,Winter tires,0,0,1,Normal,14.8,0,1,41.0,-2.0
108,7.35,Winter tires,0,0,1,Normal,14.9,0,1,41.0,-1.9
61,13.13,Winter tires,0,0,1,Normal,15.2,0,1,55.0,-1.6
57,11.72,Winter tires,0,0,1,Normal,13.3,0,1,64.0,-3.5
81,3.16,Winter tires,0,0,1,Normal,13.8,0,1,49.0,-3.0
4,7.11,Summer tires,1,0,0,Normal,17.0,0,1,15.0,0.2
45,0.95,Summer tires,1,0,1,Normal,16.4,0,1,28.0,-0.4
81,15.4,Summer tires,0,1,0,Moderate,16.8,0,1,62.0,0.0
6,15.0,Summer tires,0,1,0,Moderate,12.6,0,1,37.0,-4.2
118,0.01,Summer tires,1,1,0,Moderate,13.6,0,1,59.0,-3.2
84,7.52,Summer tires,1,1,0,Normal,14.5,0,1,72.0,-2.3
20,3.95,Summer tires,1,0,0,Normal,16.5,0,1,20.0,-0.3
74,14.51,Summer tires,0,1,0,Normal,15.2,0,1,85.0,-1.6
17,13.72,Summer tires,0,1,0,Moderate,12.1,0,1,62.0,-4.7
82,0.33,Summer tires,0,1,0,Moderate,12.1,0,1,64.0,-4.7
32,7.3,Summer tires,1,1,1,Moderate,13.9,0,1,22.0,-2.9
102,9.55,Summer tires,0,1,0,Moderate,13.8,0,1,64.0,-3.0
71,14.13,Summer tires,0,1,0,Moderate,13.9,0,1,75.0,-2.9
72,9.58,Summer tires,0,1,0,Moderate,13.8,0,1,66.0,-3.0
34,9.49,Summer tires,0,1,0,Moderate,15.7,0,1,64.0,-1.1
75,3.76,Summer tires,0,1,0,Normal,14.1,0,1,52.0,-2.7
13,4.9,Summer tires,1,0,0,Normal,14.3,0,1,36.0,-2.5
73,10.06,Summer tires,0,1,0,Normal,15.5,0,1,61.0,-1.3
35,5.59,Summer tires,0,1,0,Normal,14.6,0,1,59.0,-2.2
72,11.34,Summer tires,0,1,0,Normal,15.5,0,0,70.0,-1.3
89,8.95,Summer tires,0,1,1,Normal,13.8,0,1,47.0,-3.0
32,4.38,Summer tires,0,1,0,Normal,14.3,0,0,46.0,-2.5
72,7.48,Summer tires,0,1,0,Normal,13.0,0,0,61.0,-3.8
72,8.67,Summer tires,0,1,0,Normal,14.4,0,1,75.0,-2.4
86,10.08,Summer tires,0,1,1,Normal,14.7,0,1,59.0,-2.1
111,13.44,Summer tires,0,1,0,Normal,13.4,0,0,64.0,-3.4
103,14.22,Summer tires,0,1,0,Normal,12.5,0,0,68.0,-4.3
72,14.19,Summer tires,0,1,0,Normal,13.3,0,0,76.0,-3.5
103,9.66,Summer tires,0,1,0,Moderate,12.5,0,1,65.0,-4.3
73,12.72,Summer tires,0,1,0,Normal,13.6,0,0,82.0,-3.2
100,10.17,Summer tires,0,1,0,Normal,13.9,0,1,74.0,-2.9
72,13.22,Summer tires,0,1,0,Normal,12.9,0,0,83.0,-3.9
72,10.33,Summer tires,0,1,0,Normal,13.5,0,1,56.0,-3.3
104,9.54,Summer tires,0,1,0,Normal,13.4,0,1,79.0,-3.4
98,12.78,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4
19,11.16,Summer tires,0,1,0,Normal,14.2,0,0,56.0,-2.6
71,5.12,Summer tires,0,1,0,Normal,12.7,0,0,67.0,-4.1
100,10.51,Summer tires,0,1,0,Normal,13.1,0,1,79.0,-3.7
71,12.33,Summer tires,0,1,0,Normal,13.1,0,0,67.0,-3.7
101,10.86,Summer tires,0,1,0,Normal,13.8,0,1,78.0,-3.0
75,15.69,Summer tires,0,1,0,Normal,14.0,0,0,58.0,-2.8
102,10.95,Summer tires,0,1,0,Normal,13.6,0,0,77.0,-3.2
73,13.24,Summer tires,0,1,0,Normal,13.9,0,0,78.0,-2.9
100,10.24,Summer tires,0,1,0,Moderate,13.1,0,1,72.0,-3.7
71,13.67,Summer tires,0,1,0,Normal,14.2,0,0,85.0,-2.6
71,9.66,Summer tires,0,1,0,Moderate,14.6,0,1,62.0,-2.2
34,12.47,Summer tires,0,1,0,Normal,15.0,0,1,64.0,-1.8
69,4.97,Summer tires,0,1,0,Normal,14.8,0,1,86.0,-2.0
125,12.83,Summer tires,0,0,1,Moderate,12.2,0,1,53.0,-4.6
111,11.87,Summer tires,0,0,1,Moderate,12.2,0,0,56.0,-4.6
83,10.71,Summer tires,0,1,0,Moderate,12.4,0,0,66.0,-4.4
85,10.37,Summer tires,0,0,1,Moderate,13.2,0,0,53.0,-3.6
17,6.35,Summer tires,0,1,0,Moderate,12.5,0,0,53.0,-4.3
74,6.38,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4
103,11.35,Summer tires,0,1,0,Moderate,12.4,0,0,70.0,-4.4
72,13.2,Summer tires,0,1,0,Normal,14.0,0,0,76.0,-2.8
72,8.93,Summer tires,0,1,0,Normal,14.2,0,1,77.0,-2.6
49,7.26,Summer tires,0,1,1,Normal,13.9,0,0,68.0,-2.9
22,12.96,Summer tires,1,0,0,Normal,12.2,0,0,32.0,-4.6
100,2.79,Summer tires,0,1,1,Normal,14.6,0,0,53.0,-2.2
16,13.51,Summer tires,0,1,0,Fast,17.2,0,0,71.0,0.4
111,4.8,Summer tires,0,1,0,Normal,12.8,0,0,89.0,-4.0
98,13.0,Summer tires,0,1,0,Normal,12.5,0,0,64.0,-4.3
29,9.39,Summer tires,0,1,0,Normal,13.2,0,0,100.0,-3.6
107,6.24,Summer tires,0,1,1,Normal,13.0,0,0,78.0,-3.8
63,13.98,Summer tires,0,1,1,Normal,12.4,0,0,67.0,-4.4
18,2.23,Summer tires,0,0,1,Moderate,17.0,0,0,48.0,0.2
71,3.75,Summer tires,0,0,1,Moderate,12.8,0,0,75.0,-4.0
75,9.82,Summer tires,0,0,1,Moderate,13.1,0,0,41.0,-3.7
32,9.78,Summer tires,0,1,0,Moderate,11.4,0,0,65.0,-5.4
118,3.41,Summer tires,0,1,0,Moderate,12.1,0,0,67.0,-4.7
95,13.76,Summer tires,0,0,1,Moderate,12.2,0,0,59.0,-4.6
63,13.76,Summer tires,0,1,0,Normal,14.5,0,0,96.0,-2.3
99,9.7,Summer tires,0,1,0,Normal,13.1,0,0,78.0,-3.7
37,9.2,Summer tires,0,1,0,Moderate,13.6,0,0,56.0,-3.2
71,7.62,Summer tires,0,1,0,Moderate,11.8,0,0,77.0,-5.0
101,14.51,Summer tires,0,1,0,Moderate,13.0,0,0,69.0,-3.8
72,13.99,Summer tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
100,11.35,Summer tires,0,1,0,Moderate,13.3,0,0,70.0,-3.5
72,9.9,Summer tires,0,1,0,Moderate,13.1,0,0,67.0,-3.7
92,10.42,Summer tires,0,1,0,Moderate,14.0,0,1,50.0,-2.8
87,10.87,Summer tires,0,1,0,Normal,12.7,0,0,62.0,-4.1
74,12.09,Summer tires,0,1,0,Normal,13.5,0,0,80.0,-3.3
18,12.83,Summer tires,0,1,0,Normal,12.6,0,0,68.0,-4.2
68,0.56,Summer tires,0,1,1,Normal,13.3,0,0,69.0,-3.5
99,8.97,Summer tires,0,1,0,Normal,13.1,0,0,76.0,-3.7
24,6.5,Summer tires,0,1,0,Moderate,11.0,0,0,32.0,-5.8
86,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,73.0,-4.5
16,1.12,Summer tires,0,1,0,Moderate,11.9,0,0,59.0,-4.9
72,13.22,Summer tires,0,1,0,Moderate,12.1,0,0,75.0,-4.7
101,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,57.0,-4.5
71,11.96,Summer tires,0,1,0,Normal,12.2,0,0,80.0,-4.6
117,10.42,Summer tires,0,1,1,Moderate,12.2,0,0,70.0,-4.6
57,13.58,Summer tires,0,1,1,Moderate,12.3,0,0,58.0,-4.5
71,7.36,Summer tires,0,1,0,Normal,13.1,0,0,80.0,-3.7
73,10.42,Summer tires,0,1,0,Moderate,13.2,0,1,63.0,-3.6
87,6.31,Summer tires,0,1,1,Moderate,13.1,0,1,58.0,-3.7
72,10.01,Summer tires,0,0,1,Moderate,13.9,0,0,55.0,-2.9
3,0.37,Summer tires,1,0,0,Moderate,12.5,0,1,15.0,-4.3
17,7.1,Summer tires,0,1,0,Fast,18.1,0,1,61.0,1.3
108,3.82,Summer tires,0,1,0,Moderate,11.8,0,0,61.0,-5.0
103,14.9,Summer tires,0,1,0,Moderate,12.8,0,1,69.0,-4.0
71,10.8,Summer tires,0,1,0,Normal,13.9,0,1,79.0,-2.9
71,10.6,Summer tires,0,1,0,Normal,14.6,0,1,69.0,-2.2
18,13.28,Summer tires,0,1,0,Moderate,12.9,0,1,56.0,-3.9
97,2.23,Summer tires,0,0,1,Moderate,13.3,0,0,53.0,-3.5
72,14.71,Summer tires,0,1,0,Moderate,13.0,0,0,77.0,-3.8
100,10.79,Summer tires,0,1,0,Moderate,12.5,0,1,67.0,-4.3
71,10.51,Summer tires,0,1,0,Moderate,11.2,0,0,75.0,-5.6
72,9.86,Summer tires,0,1,0,Normal,13.2,0,0,57.0,-3.6
84,6.18,Summer tires,1,1,1,Normal,13.1,0,0,54.0,-3.7
89,14.02,Summer tires,1,1,0,Normal,13.6,0,0,57.0,-3.2
81,9.67,Summer tires,0,1,1,Fast,14.3,0,0,48.0,-2.5
20,7.63,Summer tires,0,1,0,Normal,15.9,0,0,52.0,-0.9
74,12.55,Summer tires,0,1,0,Moderate,14.4,0,0,57.0,-2.4
19,5.39,Summer tires,1,1,0,Moderate,11.0,0,0,46.0,-5.8
104,8.1,Summer tires,0,1,0,Moderate,11.8,0,0,61.0,-5.0
72,13.11,Summer tires,0,1,0,Normal,13.7,0,0,82.0,-3.1
105,10.97,Summer tires,0,1,0,Moderate,11.8,0,0,68.0,-5.0
71,11.39,Summer tires,0,1,0,Moderate,13.5,0,0,82.0,-3.3
101,11.35,Summer tires,0,1,0,Moderate,11.7,0,0,74.0,-5.1
71,12.98,Summer tires,0,1,0,Normal,14.4,0,0,80.0,-2.4
72,10.04,Summer tires,0,1,0,Normal,12.6,0,0,71.0,-4.2
38,8.7,Summer tires,0,1,0,Normal,12.9,0,0,52.0,-3.9
76,6.7,Summer tires,0,1,0,Normal,11.6,0,0,66.0,-5.2
71,8.0,Summer tires,0,1,0,Normal,12.0,0,0,70.0,-4.8
92,7.45,Summer tires,0,1,0,Fast,13.5,0,0,56.0,-3.3
17,15.03,Summer tires,0,1,0,Fast,18.1,0,0,67.0,1.3
68,2.22,Summer tires,1,1,0,Normal,16.0,0,0,94.0,-0.8
112,10.6,Summer tires,1,1,0,Normal,12.4,0,0,60.0,-4.4
78,13.73,Summer tires,1,1,0,Fast,17.6,0,0,76.0,0.8
18,10.18,Summer tires,1,0,0,Moderate,12.5,0,0,35.0,-4.3
104,10.42,Summer tires,0,1,0,Moderate,13.1,0,0,70.0,-3.7
71,13.92,Summer tires,0,1,0,Moderate,13.3,0,0,69.0,-3.5
102,11.35,Summer tires,0,1,0,Moderate,13.1,0,0,67.0,-3.7
78,11.73,Summer tires,0,1,0,Normal,12.2,0,0,76.0,-4.6
102,11.72,Summer tires,0,1,0,Moderate,12.5,0,0,69.0,-4.3
71,13.77,Summer tires,0,1,0,Fast,14.6,0,0,81.0,-2.2
85,9.86,Summer tires,0,1,0,Moderate,11.7,0,0,69.0,-5.1
17,0.93,Summer tires,0,1,0,Moderate,14.4,0,0,56.0,-2.4
71,10.22,Summer tires,0,1,0,Moderate,12.7,0,0,79.0,-4.1
24,9.67,Summer tires,0,1,0,Moderate,12.8,0,0,44.0,-4.0
65,5.39,Summer tires,0,1,0,Moderate,13.8,0,0,65.0,-3.0
35,1.12,Summer tires,0,1,0,Normal,12.1,0,0,51.0,-4.7
68,10.79,Summer tires,0,1,0,Normal,12.4,0,0,51.0,-4.4
107,10.88,Summer tires,0,1,0,Normal,12.1,0,0,73.0,-4.7
6,6.14,Summer tires,0,1,0,Normal,10.7,0,0,42.0,-6.1
98,7.63,Summer tires,0,1,0,Normal,12.7,0,0,53.0,-4.1
110,13.16,Summer tires,0,1,1,Normal,13.9,0,0,85.0,-2.9
85,12.53,Summer tires,1,1,0,Normal,13.9,0,0,52.0,-2.9
115,16.2,Summer tires,0,1,1,Moderate,12.3,0,0,44.0,-4.5
22,2.69,Summer tires,0,0,1,Moderate,11.1,0,0,41.0,-5.7
25,13.97,Summer tires,0,0,1,Normal,15.2,0,0,41.0,-1.6
97,4.08,Summer tires,0,1,0,Moderate,13.8,0,0,74.0,-3.0
114,13.5,Summer tires,0,1,1,Moderate,12.6,0,0,73.0,-4.2
17,6.14,Summer tires,0,1,0,Moderate,14.4,0,0,55.0,-2.4
71,10.31,Summer tires,0,1,0,Moderate,11.5,0,0,74.0,-5.3
101,11.72,Summer tires,0,1,0,Moderate,12.0,0,0,74.0,-4.8
75,12.15,Summer tires,0,1,0,Moderate,13.5,0,0,65.0,-3.3
25,9.86,Summer tires,0,1,0,Moderate,12.9,0,0,65.0,-3.9
77,4.09,Summer tires,0,1,0,Moderate,13.4,0,0,74.0,-3.4
72,12.12,Summer tires,0,1,0,Moderate,11.7,0,0,67.0,-5.1
118,10.23,Summer tires,0,1,1,Moderate,11.7,0,0,71.0,-5.1
66,10.04,Summer tires,0,0,1,Moderate,13.1,0,0,45.0,-3.7
80,12.96,Summer tires,0,1,0,Moderate,11.8,0,0,55.0,-5.0
106,10.6,Summer tires,0,1,0,Moderate,12.3,0,0,66.0,-4.5
86,11.44,Summer tires,0,1,0,Moderate,10.7,0,0,54.0,-6.1
3,5.21,Summer tires,0,1,0,Moderate,12.3,0,0,24.0,-4.5
100,7.06,Summer tires,0,1,0,Moderate,12.1,0,0,81.0,-4.7
71,9.99,Summer tires,0,1,0,Moderate,10.6,0,0,73.0,-6.2
100,11.16,Summer tires,0,1,0,Moderate,12.1,0,0,76.0,-4.7
72,12.58,Summer tires,0,1,0,Moderate,10.9,0,0,76.0,-5.9
91,8.93,Summer tires,0,1,0,Normal,12.5,0,0,69.0,-4.3
20,8.93,Summer tires,0,1,0,Moderate,16.1,0,0,62.0,-0.7
66,7.81,Summer tires,0,1,1,Moderate,12.0,0,0,54.0,-4.8
47,0.74,Summer tires,1,1,1,Moderate,12.2,0,0,64.0,-4.6
18,7.22,Summer tires,0,1,0,Moderate,12.2,0,0,57.0,-4.6
26,0.93,Summer tires,0,1,0,Normal,14.6,0,0,39.0,-2.2
75,9.73,Summer tires,0,1,0,Moderate,11.4,0,0,74.0,-5.4
114,10.97,Summer tires,0,1,0,Moderate,11.8,0,0,58.0,-5.0
74,11.22,Summer tires,0,1,0,Moderate,11.5,0,0,74.0,-5.3
101,11.9,Summer tires,0,1,0,Moderate,11.7,0,0,73.0,-5.1
72,10.41,Summer tires,0,1,0,Normal,11.1,0,0,75.0,-5.7
100,11.16,Summer tires,0,1,0,Normal,12.0,0,0,73.0,-4.8
72,9.69,Summer tires,0,1,0,Normal,10.3,0,0,75.0,-6.5
71,9.49,Summer tires,0,1,0,Normal,12.5,0,0,79.0,-4.3
106,10.19,Summer tires,0,1,0,Moderate,11.3,0,0,71.0,-5.5
88,11.35,Summer tires,0,1,0,Moderate,11.8,0,0,68.0,-5.0
17,0.93,Summer tires,0,1,0,Moderate,10.9,1,0,30.0,-5.9
79,13.02,Summer tires,0,1,0,Normal,14.2,1,0,44.0,-2.6
71,11.15,Summer tires,0,1,0,Moderate,12.8,1,0,67.0,-4.0
86,11.53,Summer tires,0,1,0,Moderate,11.7,0,0,74.0,-5.1
16,0.56,Summer tires,0,1,0,Moderate,13.0,0,0,57.0,-3.8
74,4.93,Summer tires,0,1,0,Moderate,11.5,0,0,69.0,-5.3
88,10.47,Summer tires,0,1,0,Moderate,11.9,0,0,66.0,-4.9
2,0.23,Summer tires,0,1,0,Normal,11.5,0,0,20.0,-5.3
89,14.56,Summer tires,0,1,0,Normal,12.3,0,0,62.0,-4.5
71,10.97,Summer tires,0,1,0,Normal,13.8,0,0,83.0,-3.0
86,7.0,Summer tires,0,1,1,Normal,13.7,0,0,71.0,-3.1
121,15.85,Summer tires,0,1,0,Normal,13.1,0,0,61.0,-3.7
5,4.9,Summer tires,1,0,0,Fast,16.1,0,0,28.0,-0.7
96,7.07,Summer tires,0,1,0,Moderate,12.1,0,0,82.0,-4.7
71,11.1,Summer tires,0,1,0,Moderate,11.8,0,0,73.0,-5.0
103,12.83,Summer tires,0,1,0,Moderate,12.0,0,0,74.0,-4.8
71,7.16,Summer tires,0,1,0,Moderate,11.3,0,0,72.0,-5.5
86,11.34,Summer tires,0,1,0,Moderate,11.0,0,0,74.0,-5.8
16,0.37,Summer tires,0,1,0,Moderate,12.1,0,0,57.0,-4.7
74,9.01,Summer tires,0,1,0,Moderate,11.4,1,0,69.0,-5.4
117,11.16,Summer tires,0,1,1,Moderate,11.8,0,0,63.0,-5.0
102,14.82,Summer tires,1,0,1,Moderate,12.3,0,0,50.0,-4.5
37,1.9,Summer tires,0,0,1,Moderate,11.3,0,0,49.0,-5.5
115,12.08,Summer tires,0,1,0,Moderate,12.9,0,0,58.0,-3.9
85,11.9,Summer tires,0,1,0,Moderate,11.8,0,0,78.0,-5.0
86,11.53,Summer tires,0,1,0,Moderate,12.2,0,0,65.0,-4.6
85,11.16,Summer tires,0,1,0,Moderate,11.5,0,0,75.0,-5.3
86,13.02,Summer tires,0,1,0,Moderate,13.1,0,0,64.0,-3.7
86,11.53,Summer tires,0,1,0,Moderate,13.0,0,0,67.0,-3.8
97,10.42,Summer tires,1,1,0,Normal,14.5,0,0,54.0,-2.3
86,12.4,Summer tires,0,1,0,Moderate,12.9,0,0,72.0,-3.9
86,10.04,Summer tires,0,1,0,Moderate,13.2,0,0,76.0,-3.6
87,11.44,Summer tires,0,1,0,Moderate,11.8,0,0,66.0,-5.0
40,15.07,Summer tires,0,1,0,Moderate,12.3,0,0,52.0,-4.5
92,0.74,Summer tires,0,1,0,Moderate,11.9,0,0,64.0,-4.9
87,14.69,Summer tires,0,1,0,Moderate,11.9,0,0,76.0,-4.9
89,4.84,Summer tires,0,1,0,Moderate,11.7,0,0,62.0,-5.1
86,11.67,Summer tires,0,1,0,Moderate,12.0,0,0,76.0,-4.8
86,11.35,Summer tires,0,1,0,Fast,13.7,0,0,74.0,-3.1
86,14.51,Summer tires,0,1,0,Moderate,11.2,0,0,73.0,-5.6
115,8.0,Summer tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
86,12.84,Summer tires,0,1,0,Moderate,11.2,0,0,73.0,-5.6
87,7.26,Summer tires,0,1,0,Moderate,12.3,0,0,75.0,-4.5
87,14.4,Summer tires,0,1,0,Moderate,12.8,0,0,68.0,-4.0
86,10.67,Summer tires,0,0,1,Moderate,12.2,0,0,49.0,-4.6
78,9.35,Summer tires,0,0,1,Moderate,12.8,0,0,54.0,-4.0
113,12.49,Summer tires,0,1,1,Moderate,12.3,0,0,67.0,-4.5
106,13.7,Summer tires,0,1,1,Moderate,12.4,0,0,79.0,-4.4
118,13.85,Summer tires,0,1,1,Moderate,13.3,0,0,71.0,-3.5
79,9.24,Summer tires,0,0,1,Moderate,11.7,1,0,51.0,-5.1
29,3.42,Summer tires,0,0,1,Moderate,11.8,0,0,42.0,-5.0
76,13.43,Summer tires,0,0,1,Moderate,12.4,0,0,64.0,-4.4
1,5.4,Summer tires,1,0,0,Moderate,8.0,0,0,17.0,-8.8
110,3.61,Summer tires,0,0,1,Moderate,11.8,0,0,50.0,-5.0
103,12.46,Summer tires,0,0,1,Moderate,12.1,0,0,55.0,-4.7
31,3.88,Summer tires,0,0,1,Moderate,12.5,0,0,42.0,-4.3
97,13.48,Summer tires,0,0,1,Moderate,13.9,0,0,63.0,-2.9
40,16.5,Summer tires,0,1,0,Normal,16.3,0,0,85.0,-0.5
77,3.87,Summer tires,0,1,0,Moderate,14.2,0,0,65.0,-2.6
72,13.33,Summer tires,0,1,0,Moderate,14.0,0,0,75.0,-2.8
83,6.51,Summer tires,0,1,1,Moderate,13.3,0,0,71.0,-3.5
136,15.74,Summer tires,1,0,1,Moderate,11.5,0,0,49.0,-5.3
89,16.74,Summer tires,0,1,0,Moderate,13.5,0,0,59.0,-3.3
3,4.55,Summer tires,1,0,0,Moderate,10.2,0,0,30.0,-6.6
88,1.67,Summer tires,0,1,0,Moderate,12.2,0,0,62.0,-4.6
86,9.03,Summer tires,0,1,0,Moderate,10.5,0,0,69.0,-6.3
87,13.78,Summer tires,1,1,0,Moderate,12.6,0,0,80.0,-4.2
74,8.93,Summer tires,1,1,0,Moderate,12.7,0,0,58.0,-4.1
28,0.96,Summer tires,1,1,0,Moderate,11.7,0,0,51.0,-5.1
85,14.51,Summer tires,0,1,0,Moderate,12.2,0,0,75.0,-4.6
88,5.77,Summer tires,0,1,0,Moderate,11.3,0,0,73.0,-5.5
86,10.06,Summer tires,0,1,0,Moderate,11.7,0,0,68.0,-5.1
77,12.72,Summer tires,0,0,1,Moderate,12.8,0,0,77.0,-4.0
112,11.25,Summer tires,0,0,1,Moderate,12.6,0,0,53.0,-4.2
2,5.59,Summer tires,0,1,0,Moderate,9.8,0,0,21.0,-7.0
86,7.44,Summer tires,0,1,0,Moderate,11.1,0,0,68.0,-5.7
86,10.04,Summer tires,0,1,0,Moderate,12.1,0,0,64.0,-4.7
85,11.35,Summer tires,0,1,0,Moderate,11.2,0,0,70.0,-5.6
89,9.3,Summer tires,0,1,0,Moderate,12.7,0,0,72.0,-4.1
86,8.0,Summer tires,0,1,0,Moderate,12.5,0,0,77.0,-4.3
89,12.59,Summer tires,0,1,0,Moderate,12.3,0,0,77.0,-4.5
86,10.23,Summer tires,0,1,0,Moderate,12.5,0,0,78.0,-4.3
85,12.28,Summer tires,0,1,0,Moderate,11.7,0,0,72.0,-5.1
87,7.44,Summer tires,0,1,0,Moderate,11.6,0,0,70.0,-5.2
85,12.09,Summer tires,0,1,0,Moderate,11.5,0,0,76.0,-5.3
86,7.63,Summer tires,0,1,1,Moderate,13.5,0,0,45.0,-3.3
46,5.8,Summer tires,1,1,0,Moderate,12.6,0,0,39.0,-4.2
129,14.19,Summer tires,0,1,1,Moderate,11.0,0,0,63.0,-5.8
86,10.41,Summer tires,0,1,0,Moderate,12.1,0,0,71.0,-4.7
86,9.55,Summer tires,0,1,0,Moderate,11.1,0,0,72.0,-5.7
86,10.66,Summer tires,0,1,0,Moderate,12.4,0,0,55.0,-4.4
86,10.15,Summer tires,0,1,0,Moderate,11.8,0,0,76.0,-5.0
85,13.82,Summer tires,0,1,0,Moderate,11.7,0,0,67.0,-5.1
