trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
16,13.51,0,1,0,17.2,0,0,71.0,0.4,2.0,0
111,4.8,0,1,0,12.8,0,0,89.0,-4.0,0.0,0
98,13.0,0,1,0,12.5,0,0,64.0,-4.3,0.0,0
29,9.39,0,1,0,13.2,0,0,100.0,-3.6,0.0,0
107,6.24,0,1,1,13.0,0,0,78.0,-3.8,0.0,0
63,13.98,0,1,1,12.4,0,0,67.0,-4.4,0.0,0
18,2.23,0,0,1,17.0,0,0,48.0,0.2,1.0,0
71,3.75,0,0,1,12.8,0,0,75.0,-4.0,1.0,0
75,9.82,0,0,1,13.1,0,0,41.0,-3.7,1.0,0
32,9.78,0,1,0,11.4,0,0,65.0,-5.4,1.0,0
118,3.41,0,1,0,12.1,0,0,67.0,-4.7,1.0,0
95,13.76,0,0,1,12.2,0,0,59.0,-4.6,1.0,0
63,13.76,0,1,0,14.5,0,0,96.0,-2.3,0.0,0
99,9.7,0,1,0,13.1,0,0,78.0,-3.7,0.0,0
37,9.2,0,1,0,13.6,0,0,56.0,-3.2,1.0,0
71,7.62,0,1,0,11.8,0,0,77.0,-5.0,1.0,0
101,14.51,0,1,0,13.0,0,0,69.0,-3.8,1.0,0
72,13.99,0,1,0,12.0,0,0,69.0,-4.8,1.0,0
100,11.35,0,1,0,13.3,0,0,70.0,-3.5,1.0,0
72,9.9,0,1,0,13.1,0,0,67.0,-3.7,1.0,0
92,10.42,0,1,0,14.0,0,1,50.0,-2.8,1.0,0
87,10.87,0,1,0,12.7,0,0,62.0,-4.1,0.0,0
74,12.09,0,1,0,13.5,0,0,80.0,-3.3,0.0,0
18,12.83,0,1,0,12.6,0,0,68.0,-4.2,0.0,0
68,0.56,0,1,1,13.3,0,0,69.0,-3.5,0.0,0
99,8.97,0,1,0,13.1,0,0,76.0,-3.7,0.0,0
24,6.5,0,1,0,11.0,0,0,32.0,-5.8,1.0,0
86,10.97,0,1,0,12.3,0,0,73.0,-4.5,1.0,0
16,1.12,0,1,0,11.9,0,0,59.0,-4.9,1.0,0
72,13.22,0,1,0,12.1,0,0,75.0,-4.7,1.0,0
101,10.97,0,1,0,12.3,0,0,57.0,-4.5,1.0,0
71,11.96,0,1,0,12.2,0,0,80.0,-4.6,0.0,0
117,10.42,0,1,1,12.2,0,0,70.0,-4.6,1.0,0
57,13.58,0,1,1,12.3,0,0,58.0,-4.5,1.0,0
71,7.36,0,1,0,13.1,0,0,80.0,-3.7,0.0,0
73,10.42,0,1,0,13.2,0,1,63.0,-3.6,1.0,0
87,6.31,0,1,1,13.1,0,1,58.0,-3.7,1.0,0
72,10.01,0,0,1,13.9,0,0,55.0,-2.9,1.0,0
3,0.37,1,0,0,12.5,0,1,15.0,-4.3,1.0,0
17,7.1,0,1,0,18.1,0,1,61.0,1.3,2.0,0
108,3.82,0,1,0,11.8,0,0,61.0,-5.0,1.0,0
103,14.9,0,1,0,12.8,0,1,69.0,-4.0,1.0,0
71,10.8,0,1,0,13.9,0,1,79.0,-2.9,0.0,0
71,10.6,0,1,0,14.6,0,1,69.0,-2.2,0.0,0
18,13.28,0,1,0,12.9,0,1,56.0,-3.9,1.0,0
97,2.23,0,0,1,13.3,0,0,53.0,-3.5,1.0,0
72,14.71,0,1,0,13.0,0,0,77.0,-3.8,1.0,0
100,10.79,0,1,0,12.5,0,1,67.0,-4.3,1.0,0
71,10.51,0,1,0,11.2,0,0,75.0,-5.6,1.0,0
72,9.86,0,1,0,13.2,0,0,57.0,-3.6,0.0,0
84,6.18,1,1,1,13.1,0,0,54.0,-3.7,0.0,0
89,14.02,1,1,0,13.6,0,0,57.0,-3.2,0.0,0
81,9.67,0,1,1,14.3,0,0,48.0,-2.5,2.0,0
20,7.63,0,1,0,15.9,0,0,52.0,-0.9,0.0,0
74,12.55,0,1,0,14.4,0,0,57.0,-2.4,1.0,0
19,5.39,1,1,0,11.0,0,0,46.0,-5.8,1.0,0
104,8.1,0,1,0,11.8,0,0,61.0,-5.0,1.0,0
72,13.11,0,1,0,13.7,0,0,82.0,-3.1,0.0,0
105,10.97,0,1,0,11.8,0,0,68.0,-5.0,1.0,0
71,11.39,0,1,0,13.5,0,0,82.0,-3.3,1.0,0
101,11.35,0,1,0,11.7,0,0,74.0,-5.1,1.0,0
71,12.98,0,1,0,14.4,0,0,80.0,-2.4,0.0,0
72,10.04,0,1,0,12.6,0,0,71.0,-4.2,0.0,0
38,8.7,0,1,0,12.9,0,0,52.0,-3.9,0.0,0
76,6.7,0,1,0,11.6,0,0,66.0,-5.2,0.0,0
71,8.0,0,1,0,12.0,0,0,70.0,-4.8,0.0,0
92,7.45,0,1,0,13.5,0,0,56.0,-3.3,2.0,0
17,15.03,0,1,0,18.1,0,0,67.0,1.3,2.0,0
68,2.22,1,1,0,16.0,0,0,94.0,-0.8,0.0,0
112,10.6,1,1,0,12.4,0,0,60.0,-4.4,0.0,0
78,13.73,1,1,0,17.6,0,0,76.0,0.8,2.0,0
18,10.18,1,0,0,12.5,0,0,35.0,-4.3,1.0,0
104,10.42,0,1,0,13.1,0,0,70.0,-3.7,1.0,0
71,13.92,0,1,0,13.3,0,0,69.0,-3.5,1.0,0
102,11.35,0,1,0,13.1,0,0,67.0,-3.7,1.0,0
78,11.73,0,1,0,12.2,0,0,76.0,-4.6,0.0,0
102,11.72,0,1,0,12.5,0,0,69.0,-4.3,1.0,0
71,13.77,0,1,0,14.6,0,0,81.0,-2.2,2.0,0
85,9.86,0,1,0,11.7,0,0,69.0,-5.1,1.0,0
17,0.93,0,1,0,14.4,0,0,56.0,-2.4,1.0,0
71,10.22,0,1,0,12.7,0,0,79.0,-4.1,1.0,0
24,9.67,0,1,0,12.8,0,0,44.0,-4.0,1.0,0
65,5.39,0,1,0,13.8,0,0,65.0,-3.0,1.0,0
35,1.12,0,1,0,12.1,0,0,51.0,-4.7,0.0,0
68,10.79,0,1,0,12.4,0,0,51.0,-4.4,0.0,0
107,10.88,0,1,0,12.1,0,0,73.0,-4.7,0.0,0
6,6.14,0,1,0,10.7,0,0,42.0,-6.1,0.0,0
98,7.63,0,1,0,12.7,0,0,53.0,-4.1,0.0,0
110,13.16,0,1,1,13.9,0,0,85.0,-2.9,0.0,0
85,12.53,1,1,0,13.9,0,0,52.0,-2.9,0.0,0
115,16.2,0,1,1,12.3,0,0,44.0,-4.5,1.0,0
22,2.69,0,0,1,11.1,0,0,41.0,-5.7,1.0,0
25,13.97,0,0,1,15.2,0,0,41.0,-1.6,0.0,0
97,4.08,0,1,0,13.8,0,0,74.0,-3.0,1.0,0
114,13.5,0,1,1,12.6,0,0,73.0,-4.2,1.0,0
17,6.14,0,1,0,14.4,0,0,55.0,-2.4,1.0,0
71,10.31,0,1,0,11.5,0,0,74.0,-5.3,1.0,0
101,11.72,0,1,0,12.0,0,0,74.0,-4.8,1.0,0
75,12.15,0,1,0,13.5,0,0,65.0,-3.3,1.0,0
25,9.86,0,1,0,12.9,0,0,65.0,-3.9,1.0,0
77,4.09,0,1,0,13.4,0,0,74.0,-3.4,1.0,0
72,12.12,0,1,0,11.7,0,0,67.0,-5.1,1.0,0
118,10.23,0,1,1,11.7,0,0,71.0,-5.1,1.0,0
66,10.04,0,0,1,13.1,0,0,45.0,-3.7,1.0,0
80,12.96,0,1,0,11.8,0,0,55.0,-5.0,1.0,0
106,10.6,0,1,0,12.3,0,0,66.0,-4.5,1.0,0
86,11.44,0,1,0,10.7,0,0,54.0,-6.1,1.0,0
3,5.21,0,1,0,12.3,0,0,24.0,-4.5,1.0,0
100,7.06,0,1,0,12.1,0,0,81.0,-4.7,1.0,0
71,9.99,0,1,0,10.6,0,0,73.0,-6.2,1.0,0
100,11.16,0,1,0,12.1,0,0,76.0,-4.7,1.0,0
72,12.58,0,1,0,10.9,0,0,76.0,-5.9,1.0,0
91,8.93,0,1,0,12.5,0,0,69.0,-4.3,0.0,0
20,8.93,0,1,0,16.1,0,0,62.0,-0.7,1.0,0
66,7.81,0,1,1,12.0,0,0,54.0,-4.8,1.0,0
47,0.74,1,1,1,12.2,0,0,64.0,-4.6,1.0,0
18,7.22,0,1,0,12.2,0,0,57.0,-4.6,1.0,0
26,0.93,0,1,0,14.6,0,0,39.0,-2.2,0.0,0
75,9.73,0,1,0,11.4,0,0,74.0,-5.4,1.0,0
114,10.97,0,1,0,11.8,0,0,58.0,-5.0,1.0,0
74,11.22,0,1,0,11.5,0,0,74.0,-5.3,1.0,0
101,11.9,0,1,0,11.7,0,0,73.0,-5.1,1.0,0
72,10.41,0,1,0,11.1,0,0,75.0,-5.7,0.0,0
100,11.16,0,1,0,12.0,0,0,73.0,-4.8,0.0,0
72,9.69,0,1,0,10.3,0,0,75.0,-6.5,0.0,0
71,9.49,0,1,0,12.5,0,0,79.0,-4.3,0.0,0
106,10.19,0,1,0,11.3,0,0,71.0,-5.5,1.0,0
88,11.35,0,1,0,11.8,0,0,68.0,-5.0,1.0,0
17,0.93,0,1,0,10.9,1,0,30.0,-5.9,1.0,0
79,13.02,0,1,0,14.2,1,0,44.0,-2.6,0.0,0
71,11.15,0,1,0,12.8,1,0,67.0,-4.0,1.0,0
86,11.53,0,1,0,11.7,0,0,74.0,-5.1,1.0,0
16,0.56,0,1,0,13.0,0,0,57.0,-3.8,1.0,0
74,4.93,0,1,0,11.5,0,0,69.0,-5.3,1.0,0
88,10.47,0,1,0,11.9,0,0,66.0,-4.9,1.0,0
2,0.23,0,1,0,11.5,0,0,20.0,-5.3,0.0,0
89,14.56,0,1,0,12.3,0,0,62.0,-4.5,0.0,0
71,10.97,0,1,0,13.8,0,0,83.0,-3.0,0.0,0
86,7.0,0,1,1,13.7,0,0,71.0,-3.1,0.0,0
121,15.85,0,1,0,13.1,0,0,61.0,-3.7,0.0,0
5,4.9,1,0,0,16.1,0,0,28.0,-0.7,2.0,0
96,7.07,0,1,0,12.1,0,0,82.0,-4.7,1.0,0
71,11.1,0,1,0,11.8,0,0,73.0,-5.0,1.0,0
103,12.83,0,1,0,12.0,0,0,74.0,-4.8,1.0,0
71,7.16,0,1,0,11.3,0,0,72.0,-5.5,1.0,0
86,11.34,0,1,0,11.0,0,0,74.0,-5.8,1.0,0
16,0.37,0,1,0,12.1,0,0,57.0,-4.7,1.0,0
74,9.01,0,1,0,11.4,1,0,69.0,-5.4,1.0,0
